date,best_learning_rate_xgboost,best_max_depth_xgboost,best_n_estimators_xgboost,best_reg_lambda_xgboost,best_subsample_xgboost,best_colsample_xgboost,best_depth_random_forest,best_n_estimators_random_forest,best_min_leaf_random_forest
2025-03-03,0.100000,1,100,1,0.700000,0.700000,4,135,3
2025-04-01,0.050000,1,100,1,0.700000,0.700000,2,135,2
2025-05-01,0.050000,1,100,5,1.000000,1.000000,1,100,2
2025-06-02,0.050000,1,100,5,0.700000,0.700000,2,200,4
2025-07-01,0.050000,1,100,3,0.700000,1.000000,1,200,2
2025-08-01,0.050000,1,100,1,1.000000,1.000000,1,135,2
2025-09-02,0.050000,1,100,5,1.000000,1.000000,3,100,5
2025-10-01,0.050000,1,100,3,1.000000,1.000000,2,100,2
2025-11-03,0.050000,2,100,1,1.000000,0.700000,4,135,4
2025-12-01,0.050000,1,100,1,0.700000,0.700000,3,135,3
