rebalance_date,invest_year,select_year,ticker,assigned_weight,turnover,tc_drag_bps,best_depth,best_n_est,best_min_leaf,best_min_samples_split,val_R2_selected
2023-02-01,2023,2022,TSLA,0.020536470716852405,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,GOOGL,0.020021103319623076,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,AMZN,0.014599848731607426,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,META,0.009997481800837236,0.0,0.0,1,135,4,5,-0.062264
2023-02-01,2023,2022,NVDA,0.009997481800837236,0.0,0.0,1,135,4,5,-0.062264
2023-03-01,2023,2022,HD,0.09869491930692041,0.310005,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,UNH,0.09136450643293367,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,JNJ,0.08636356703762192,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,LLY,0.07811824916100052,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,WMT,0.06528554071276979,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,PFE,0.06344750522066027,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,PG,0.06111718499434478,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,CVX,0.059383040916770886,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,XOM,0.054857904729778015,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,BRK-B,0.048360024565115234,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,MA,0.04759090048204752,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,V,0.042584561137884606,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,META,0.042034381480585845,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,GOOGL,0.0392359335482126,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,JPM,0.03872119183576803,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,MSFT,0.02799469124315622,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,NVDA,0.02052541350440211,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,AAPL,0.014325601653530048,0.0,0.0,2,135,1,5,-0.757926
2023-03-01,2023,2022,TSLA,0.009997441018248867,0.0,0.0,2,135,1,5,-0.757926
